refID,Custom Name,Date,Address,Style,Architect,District,Resident,Description,Image Location 1,Image Caption 1,Image Location 2,Image Caption 2,Image Location 3,Image Caption 3,Image Location 4,Image Caption 4,Rating,Latitude,Longitude,Sequence,Slug
ND-SB-00001,"",1880,744 West Washington,Italianate,"",West Washington,"",This lovely two storey brick Italianate was built around 1880 for Anna and Miner Listenberger who were early South Bend real estate entreprenuers. It was sold in 1886 to Miner's brother Albert who lived there until 1921. Albert rode for the Pony Express and was a prisoner of war during the Civil War before becoming the first President of Citizens National Bank. The house was converted into a funeral home in 1936 by Peter Nemeth and in the 1980s it was occupied by Ten-Ech an engineering consulting firm. It is now a single family residence.,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00001-03.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00001-04.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2300.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2301.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,Notable,41.675933,-86.26121,31,nd-sb-00001
ND-SB-00002,"",1903,114 Chapin Street,Shingle Style,"",West Washington,"","",http://documents.library.nd.edu/documents/arch-lib/South-Bend/CfH-Past Perfect/1000-2000/Full/ph 2536.jpg,Image credit: The History Museum,"","","","","","",Outstanding,41.675709,-86.261198,32,nd-sb-00002
ND-SB-00004,,1883,128 South Chapin St,Gabled-ell,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0110.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0111.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Notable,41.67525,-86.2612,33,nd-sb-00004
ND-SB-00005,"",1911,132 South Chapin St,American Foursquare,"",West Washington,"","",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0120.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0121.jpg,"Image credit: University of Notre Dame, Architecture Library","","","","",Notable,41.675128,-86.261182,34,nd-sb-00005
ND-SB-00006,,1875,727 West Jefferson Blvd,Upright-and-wing,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0073.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0074.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Non-contributing,41.67502,-86.260398,119,nd-sb-00006
ND-SB-00007,,1910,136 South Chapin St,Gabled-ell,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0122.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0123.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.674982,-86.261214,35,nd-sb-00007
ND-SB-00008,,1884,730 West Washington,Stick Style,,West Washington,,"The Edmund Meagher House offers a visually stimulating example of the Stick Style. The Stick Style is a transitional style which bridges the preceeding Gothic Revival and later Queen Anne styles. It is a celebration of carpentry in ways that were fresh and new. As was typical, the Meagher house is highly ornamented and colorful.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00008-02.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2312.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2313.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2314.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,Outstanding,41.675996,-86.260732,30,nd-sb-00008
ND-SB-00009,,1888,726 West Washington,Queen Anne,,West Washington,,"The Arthur Baker Residence was designed by local architects W.W. Schneider and Ennis Austin in a vernacular interpretation of the Queen Anne style. The significant porch and artfully articulated spindle work, projecting bays and gables are appropriate to both the time and intentionally casual appearance of this home. The house also has a fine carriage house at the rear.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00009-02.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00009-04.jpg,Image credit: University of Notre Dame Architecture Library,,,,,Outstanding,41.67598,-86.2605,29,nd-sb-00009
ND-SB-00010,,1904,724 West Washington,Shingle Style,"Austin & Schambleau, Architects",West Washington,,"Prominent South Bend architects Austin and Shambleau designed this bungalow styled home in 1904 for James N. Taylor and his family. Mr. Taylor was the secretary with the Indiana Lumber and Manufacturing Company which may account for the fine materials and craftsmanship of this home. The home was previously office space, but has been restored to a single family home.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00010-02.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00010-03.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2292.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2293.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,Outstanding,41.676009,-86.260339,28,nd-sb-00010
ND-SB-00011,,1922,731 West Jefferson Blvd,American Foursquare,,West Washington,,This American Four Square was owned by Antoinette and Leo Borlik.  It is a two storey plus attic residence with a hip roof and prominet front hip dormer. The clapboard walls have a cornice board between the first and second floors and end trim thoughout.  The full length front porch is supported brick piers with limestone caps.,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0075.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0076.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0077.jpg,"Image credit: University of Notre Dame, Architecture Library",,,Notable,41.675033,-86.260628,120,nd-sb-00011
